usage_date,connector,owner,environment,rows_synced,connector_cost_usd,warehouse_cost_usd,total_cost_usd,cost_per_million_rows_usd
2026-02-01,google_ads,marketing,production,546008,40.6,19.47,60.07,110.02
2026-02-01,meta_ads,marketing,production,796860,54.57,21.04,75.61,94.88
2026-02-01,netsuite_finance,finance,production,442242,60.6,14.34,74.95,169.48
2026-02-01,product_analytics,product,production,1273127,65.35,24.41,89.77,70.51
2026-02-01,shopify_orders,commerce,production,1509732,68.78,29.21,97.99,64.91
2026-02-01,subscription_events,growth,production,1812933,74.99,36.14,111.13,61.3
2026-02-01,warehouse_inventory,operations,production,961491,60.31,24.95,85.26,88.67
2026-02-01,zendesk_tickets,support,production,256637,33.94,14.1,48.04,187.19
2026-02-02,google_ads,marketing,production,770108,57.26,18.26,75.53,98.08
2026-02-02,meta_ads,marketing,production,981789,67.23,23.17,90.4,92.08
2026-02-02,netsuite_finance,finance,production,523279,71.71,13.69,85.4,163.2
2026-02-02,product_analytics,product,production,1743024,89.48,36.17,125.65,72.09
2026-02-02,shopify_orders,commerce,production,1852001,84.37,31.37,115.74,62.49
2026-02-02,subscription_events,growth,production,2270822,93.93,41.57,135.5,59.67
2026-02-02,warehouse_inventory,operations,production,1145288,71.84,21.34,93.18,81.36
2026-02-02,zendesk_tickets,support,production,338830,44.81,16.0,60.81,179.47
2026-02-03,google_ads,marketing,production,775190,57.64,19.18,76.82,99.1
2026-02-03,meta_ads,marketing,production,964812,66.07,19.83,85.9,89.03
2026-02-03,netsuite_finance,finance,production,571470,78.31,18.83,97.14,169.98
2026-02-03,product_analytics,product,production,1516758,77.86,28.25,106.11,69.96
2026-02-03,shopify_orders,commerce,production,1735001,79.04,31.88,110.92,63.93
2026-02-03,subscription_events,growth,production,2095207,86.67,39.97,126.63,60.44
2026-02-03,warehouse_inventory,operations,production,1005784,63.09,21.27,84.36,83.87
2026-02-03,zendesk_tickets,support,production,291528,38.56,13.77,52.33,179.5
2026-02-04,google_ads,marketing,production,799782,59.47,20.85,80.32,100.43
2026-02-04,meta_ads,marketing,production,970325,66.45,18.64,85.08,87.68
2026-02-04,netsuite_finance,finance,production,522825,71.65,16.3,87.95,168.22
2026-02-04,product_analytics,product,production,1315395,67.52,28.77,96.29,73.2
2026-02-04,shopify_orders,commerce,production,1924546,87.67,32.92,120.6,62.66
2026-02-04,subscription_events,growth,production,2064543,85.4,37.2,122.6,59.38
2026-02-04,warehouse_inventory,operations,production,1081179,67.82,20.94,88.76,82.1
2026-02-04,zendesk_tickets,support,production,277115,36.65,14.34,51.0,184.04
2026-02-05,google_ads,marketing,production,763245,56.75,18.74,75.5,98.92
2026-02-05,meta_ads,marketing,production,973726,66.68,20.76,87.44,89.8
2026-02-05,netsuite_finance,finance,production,490678,67.24,13.51,80.75,164.57
2026-02-05,product_analytics,product,production,1458903,74.89,30.91,105.8,72.52
2026-02-05,shopify_orders,commerce,production,1830717,83.4,34.51,117.9,64.4
2026-02-05,subscription_events,growth,production,2234173,92.41,40.91,133.33,59.68
2026-02-05,warehouse_inventory,operations,production,1029061,64.55,21.38,85.93,83.5
2026-02-05,zendesk_tickets,support,production,331531,43.85,12.5,56.35,169.97
2026-02-06,google_ads,marketing,production,763313,56.76,16.32,73.08,95.74
2026-02-06,meta_ads,marketing,production,957226,65.55,19.57,85.12,88.92
2026-02-06,netsuite_finance,finance,production,524115,71.82,15.84,87.67,167.27
2026-02-06,product_analytics,product,production,1461093,75.0,29.87,104.87,71.78
2026-02-06,shopify_orders,commerce,production,1895761,86.36,34.39,120.75,63.69
